portNo,portName
10326,Port Wing
10327,Superior
10328,Duluth
10329,Two Harbors
10330,Grand Marais
10331,Washington Harbor
10332,Gaspe
10333,Douglastown
10334,Chandler
10335,Dalhousie
10336,Caraquet
10337,Shippegan
10338,Shediac
10339,Alberton
10340,Souris Harbour
10341,Georgetown
10342,Charlottetown
10343,Summerside
10344,Pictou
10345,Port Hawkesbury
10346,Port Hastings
10347,Cheticamp
10348,Whycocomagh
10349,Grand Narrows
10350,Little Bras D Or
10351,North Sydney
10352,Sydney
10353,Louisburg
10354,Arichat
10355,Guysborough
10356,Canso
10357,Whitehaven Harbor
10358,Goldsboro
10359,Stormont
10360,Sonora
10361,Musquodoboit Harbour
10362,Halifax
10363,Sambro
10364,Lunenburg
10365,Liverpool (Brooklyn)
10366,Lockeport
10367,Yarmouth
10368,Digby
10369,Annapolis Royal
10370,Windsor
10371,Canaport (St. John)
10372,St John
10373,Port Bayside Nb
10374,Eastport
10375,Lubec
10376,Machiasport
10377,Machias
10378,Jonesport
10379,Wyman
10380,Milbridge
10381,Corea
10382,Winter Harbor
10383,Sorrento
10384,Bar Harbor
10385,Northeast Harbor
10386,Southwest Harbor
10387,Mount Desert
10388,Frenchboro
10389,Minturn
10390,Swans Island
10391,Bass Harbor
10392,Ellsworth
10393,Brooklin
10394,Bucks Harbor
10395,Stonington
10396,Criehaven
10397,Matinicus
10398,Vinalhaven
10399,North Haven
10400,Castine
10401,Sandypoint
10402,Bucksport
10403,Winterport
10404,Bangor
10405,Searsport
10406,Belfast
10407,Camden
10408,Rockport
10409,Rockland
10410,Monhegan
10411,Port Clyde
10412,Thomaston
10413,Friendship
10414,New Harbor
10415,Pemaquid Beach
10416,South Bristol
10417,Boothbay Harbor
10418,Robinhood
10419,Bath
10420,Gardiner
10421,Augusta
10422,Cundy Harbor
10423,South Harpswell
10424,Portland
10425,Saco
10426,Kennebunkport
10427,Portsmouth
10428,Newburyport
10429,Rockport
10430,Gloucester
10431,Beverly
10432,Salem
10433,Marblehead
10434,Lynn
10435,Boston
10436,Quincy
10437,Scituate
10438,Plymouth
10439,Provincetown
10440,Hyannis
10441,Hyannis Port
10442,Falmouth
10443,Nantucket
10444,Edgartown
10445,Vineyard Haven
10446,Woods Hole
10447,New Bedford
10448,Newport
10449,Fall River
10450,Tiverton
10451,Bristol
10452,Providence
10453,Quonset Point
10454,Davisville Depot
10455,Montauk Harbor
10456,Greenport
10457,Stonington
10458,Noank
10459,Mystic
10460,New London
10461,Norwich
10462,Essex
10463,New Haven
10464,Port Jefferson
10465,Bridgeport
10466,Southport
10467,Norwalk
10468,Stamford
10469,Greenwich
10470,Port Chester
10471,City Island
10472,Brooklyn
10473,New York City
10474,Patchogue
10475,Yonkers
10476,Newburgh
10477,Poughkeepsie
10478,Kingston
10479,Catskill
10480,Albany
10481,Rensselaer
10482,Troy
10483,Edgewater
10484,Weehawken
10485,Hoboken
10486,Jersey City
10487,Bayonne
10488,Newark
10489,Elizabethport
10490,Stapleton Si
10491,Tompkinsville Si
10492,Port Richmond Si
10493,Mariners Harbor Si
10494,Gulfport Si
10495,Port Socony
10496,Bayway
10497,Grasselli
10498,Carteret
10499,Chrome
10500,Port Reading
10501,Sewaren
10502,Maurer
10503,Perth Amboy
10504,Sayreville
10505,South Amboy
10506,Leonardo
10507,Barnegat
10508,Atlantic City
10509,Salem Nj
10510,New Castle
10511,Deepwater Point
10512,Wilmington
10513,Marcus Hook
10514,Chester
10515,Philadelphia
10516,Paulsboro
10517,Gloucester
10518,Camden
10519,Burlington
10520,Bristol
10521,Trenton
10522,Ocean City
10523,Cape Charles
10524,Salisbury
10525,Havre De Grace
10526,Baltimore
10527,Annapolis
10528,Solomons Island
10529,Washington D.C.
10530,Alexandria
10531,Piney Point
10532,Yorktown
10533,West Point
10534,Fredericksburg
10535,Norfolk
10536,Portsmouth
10537,Newport News
10538,Warwick
10539,Richmond
10540,Elizabeth City
10541,Hertford
10542,Edenton
10543,Plymouth
10544,Columbia
10545,Belhaven
10546,Washington
10547,Bayboro
10548,New Bern
10549,Beaufort
10550,Morehead City
10551,Swansboro
10552,Wrightsville
10553,Wilmington
10554,Southport
10555,Georgetown
10556,Charleston
10557,Port Royal
10558,Beaufort
10559,Savannah
10560,Darien
10561,Brunswick
10562,Fernandina Beach
10563,Mayport
10564,Jacksonville
10565,St Augustine
10566,Canaveral Harbor
10567,Fort Pierce
10568,Palm Beach
10569,Port Everglades
10570,Miami
10571,Key West
10572,Boca Grande
10573,Port Manatee
10574,Tampa
10575,St Petersburg
10576,Tarpon Springs
10577,Carrabelle
10578,Apalachicola
10579,Port St Joe
10580,Panama City
10581,Pensacola
10582,Mobile
10583,Pascagoula
10584,Biloxi
10585,Gulfport
10586,Slidell
10587,Madisonville
10588,Southwest Pass
10589,Port Sulphur
10590,Gretna
10591,New Orleans
10592,Port Of Memphis
10593,Tri-City Port
10594,St. James
10595,Convent
10596,St Rose
10597,Reserve
10598,Destrehan
10599,Baton Rouge
10600,Loop Terminal
10601,Grand Isle
10602,Morgan City
10603,Haymark Terminal
10604,Lake Charles
10605,Sabine
10606,Sabine Pass
10607,Orange
10608,Port Arthur
10609,Port Neches
10610,Beaumont
10611,Galveston
10612,Texas City
10613,Baytown
10614,Norsworthy
10615,Pasadena
10616,Sinco
10617,Deer Park
10618,Houston
10619,Freeport
10620,Palacios
10621,Port Lavaca
10622,Port Oconnor
10623,Rockport
10624,Corpus Christi
10625,Port Aransas
10626,Port Ingleside
10627,Port Isabel
10628,Brownsville
10629,Altamira
10630,Tampico
10631,Tuxpan
10632,Veracruz
10633,Cayo Arcas Terminal
10634,Coatzacoalcos
10635,Nanchital
10636,Minatitlan
10637,Dos Bocas Terminal
10638,Frontera
10639,Ciudad Del Carmen
10640,Campeche
10641,Progreso
10642,San Miguel De Cozumel
10643,Belize City
10644,Puerto Barrios
10645,Santo Thomas De Castilla
10646,Puerto Cortes
10647,Tela
10648,Puerto Este
10649,La Ceiba
10650,Coxen Hole
10651,Trujillo
10652,Puerto Castilla
10653,Puerto Cabezas
10654,El Bluff
10655,Bluefields
10656,Puerto Moin
10657,Puerto Limon
10658,Chiriqui Grande
10659,Almirante
10660,Bocas Del Toro
10661,Puerto Cristobal
10662,Puerto Colon
10663,Bahia De Las Minas
10664,St George'S
10665,Ireland Island
10666,Hamilton
10667,Freeport
10668,South Riding Point
10669,Nassau
10670,Clifton Pier
10671,Cockburn Town
10672,Matthew Town
10673,Grand Turk
10674,Cockburn Harbor
10675,Cabanas
10676,Mariel
10677,Bahai De La Habana
10678,Matanzas
10679,Cardenas
10680,Isabela De Sagua
10681,Nuevitas Bay
10682,Manati
10683,Puerto Padre
10684,Antilla
10685,Felton
10686,Nicaro
10687,Bahia De Sagua De Tanamo
10688,Cayo Moa Grande
10689,Puerto Guantanamo
10690,Santiago De Cuba
10691,Media Luna
10692,Ceiba Hueca
10693,Manzanillo
10694,Guayabal
10695,Jucaro
10696,Tunas De Zaza
10697,Casilda
10698,Cienfuegos
10699,Nueva Gerona
10700,Georgetown
10701,Cayman Brac
10702,Lucea
10703,Montego Bay
10704,Falmouth
10705,Rio Bueno
10706,Ocho Rios
10707,Port Antonio
10708,Kingston
10709,Port Esquivel
10710,Rocky Point
10711,Port Kaiser
10712,Savannah La Mar
10713,Jacmel
10714,Miragoane
10715,Petit Goave
10716,Port Au Prince
10717,Cap Haitien
10718,Pepillo Salcedo
10719,Puerto Plata
10720,Santa Barbara De Samana
10721,Puerto Botado
10722,Sanchez
10723,La Romana
10724,San Pedro De Macoris
10725,Andres (Andres Lgn Terminal)
10726,Santo Domingo
10727,Puerto De Haina
10728,Punta Nizao Oil Terminal
10729,Las Calderas
10730,Puerto Viejo De Azua
10731,Santa Cruz De Barahona
10732,Cabo Rojo
10733,Aguadilla
10734,Arecibo
10735,San Juan
10736,Bahia De Fajardo
10737,Ensenada Honda
10738,Playa De Humacao
10739,Puerto Yabucoa
10740,Arroyo
