Port Number,Port Name,Country,Latitude,Longitude,DD Lat,DD Long
13456,Vitaz Marine Terminal,RU,52.42 N,143.33 E,52.42,143.33
13457,Poronaysk,RU,49.13 N,143.8E,49.13,143.8
13458,Korsakov,RU,46.37 N,142.46 E,46.37,142.46
13459,Nevelsk,RU,46.40 N,141.52 E,46.4,141.52
13460,Kholmsk,RU,47.3N,142.3E,47.3,142.3
13461,Uglegorsk,RU,49.5N,142.2E,49.5,142.2
13462,Shakhtersk,RU,49.10 N,142.4E,49.1,142.4
13463,Lesogorsk,RU,49.27 N,142.8E,49.27,142.8
13464,Mys Rogatyy Oktyabrskiy,RU,50.44 N,142.6E,50.44,142.6
13465,Aleksandrovsk -Sakhalinskiy,RU,50.54 N,142.8E,50.54,142.8
13466,Lazarev,RU,52.13 N,141.31 E,52.13,141.31
13467,Moskal Vo,RU,53.35 N,142.30 E,53.35,142.3
13468,Shakotan,RU,43.52 N,146.50 E,43.52,146.5
13469,Mombetsu Ko,JP,44.21 N,143.21 E,44.21,143.21
13470,Abashiri Ko,JP,44.1N,144.17 E,44.1,144.17
13471,Nemuro Ko,JP,43.20 N,145.35 E,43.2,145.35
13472,Hanasaki Ko,JP,43.17 N,145.35 E,43.17,145.35
13473,Kushiro Ko,JP,42.59 N,144.22 E,42.59,144.22
13474,Tomakomai Ko,JP,42.38 N,141.38 E,42.38,141.38
13475,Muroran Ko,JP,42.21 N,140.58 E,42.21,140.58
13476,Tokachi,JP,42.15 N,143.18 E,42.15,143.18
13477,Mori,JP,42.7N,140.35 E,42.7,140.35
13478,Hakodate Ko,JP,41.47 N,140.43 E,41.47,140.43
13479,Esasi Ko,JP,41.52 N,140.7E,41.52,140.7
13480,Otaru Ko,JP,43.12 N,141.1E,43.12,141.1
13481,Isikari Wan,JP,43.14 N,141.22 E,43.14,141.22
13482,Ishikari Bay New Port,JP,43.13 N,141.17 E,43.13,141.17
13483,Rumoi Ko,JP,43.57 N,141.38 E,43.57,141.38
13484,Wakkanai,JP,43.25 N,141.41 E,43.25,141.41
13485,Aomori Ko,JP,40.50 N,140.45 E,40.5,140.45
13486,Noshiro Ko,JP,40.13 N,140.0E,40.13,140
13487,Hachinohe Ko,JP,40.32 N,141.33 E,40.32,141.33
13488,Miyako,JP,39.38 N,141.59 E,39.38,141.59
13489,Kamaishi Ko,JP,39.16 N,141.54 E,39.16,141.54
13490,Ofunato,JP,39.3N,141.44 E,39.3,141.44
13491,Kesennuma Ko,JP,38.52 N,141.36 E,38.52,141.36
13492,Onagawa,JP,38.27 N,141.27 E,38.27,141.27
13493,Ishinomaki Ko,JP,38.24 N,141.19 E,38.24,141.19
13494,Sendai-Shiogama,JP,38.19 N,141.2E,38.19,141.2
13495,Soma,JP,37.50 N,140.57 E,37.5,140.57
13496,Onahama Ko,JP,36.56 N,140.54 E,36.56,140.54
13497,Hitachi,JP,36.30 N,140.38 E,36.3,140.38
13498,Kashima Ko,JP,35.56 N,140.42 E,35.56,140.42
13499,Choshi,JP,35.44 N,140.51 E,35.44,140.51
13500,Tateyama Ko,JP,35.0N,139.48 E,35,139.48
13501,Kisarazu Ko,JP,35.22 N,139.53 E,35.22,139.53
13502,Chiba Ko,JP,35.35 N,140.4E,35.35,140.4
13503,Katsunan Ko,JP,35.40 N,139.59 E,35.4,139.59
13504,Funabashi,JP,35.40 N,139.57 E,35.4,139.57
13505,Tokyo Ko,JP,35.40 N,139.45 E,35.4,139.45
13506,Kawasaki Ko,JP,35.30 N,139.46 E,35.3,139.46
13507,Yokohama Ko,JP,35.27 N,139.35 E,35.27,139.35
13508,Yokosuka Ko,JP,35.17 N,139.40 E,35.17,139.4
13509,Uraga Ko,JP,35.14 N,139.43 E,35.14,139.43
13510,Tagonoura Ko,JP,35.8N,138.42 E,35.8,138.42
13511,Atsumi,JP,34.40 N,137.4E,34.4,137.4
13512,Shimoda Ko,JP,34.40 N,138.57 E,34.4,138.57
13513,Omaezaki Ko,JP,34.36 N,138.14 E,34.36,138.14
13514,Shimizu Ko,JP,35.1N,138.30 E,35.1,138.3
13515,Mikawa,JP,34.43 N,137.18 E,34.43,137.18
13516,Kinuura Ko,JP,34.51 N,136.57 E,34.51,136.57
13517,Gamagori Ko,JP,34.49 N,137.13 E,34.49,137.13
13518,Nagoya Ko,JP,35.4N,136.52 E,35.4,136.52
13519,Yokkaichi,JP,34.58 N,136.38 E,34.58,136.38
13520,Matsusaka,JP,34.36 N,136.34 E,34.36,136.34
13521,Toba,JP,34.29 N,136.51 E,34.29,136.51
13522,Owase Ko,JP,34.4N,136.13 E,34.4,136.13
13523,Tanabe Ko,JP,33.43 N,135.22 E,33.43,135.22
13524,Yura,JP,33.57 N,135.6E,33.57,135.6
13525,Wakayama-Shimotsu Ko,JP,34.12 N,135.8E,34.12,135.8
13526,Sakai-Senboku,JP,34.33 N,135.26 E,34.33,135.26
13527,Osaka,JP,34.39 N,135.26 E,34.39,135.26
13528,Amagasaki,JP,34.42 N,135.23 E,34.42,135.23
13529,Kobe,JP,34.39 N,135.11 E,34.39,135.11
13530,Hirohata,JP,34.46 N,134.38 E,34.46,134.38
13531,Shikama,JP,34.46 N,134.39 E,34.46,134.39
13532,Himeji,JP,34.45 N,134.38 E,34.45,134.38
13533,Higashi-Harima,JP,34.42 N,134.50 E,34.42,134.5
13534,Aioi,JP,34.47 N,134.28 E,34.47,134.28
13535,O0Kihama,JP,34.45 N,134.34 E,34.45,134.34
13536,Kakogawa,JP,34.42 N,134.50 E,34.42,134.5
13537,Uno Ko,JP,34.29 N,133.57 E,34.29,133.57
13538,Hibi Ko,JP,34.27 N,133.56 E,34.27,133.56
13539,Mizushima Ko,JP,34.30 N,133.45 E,34.3,133.45
13540,Fukuyama,JP,34.26 N,133.26 E,34.26,133.26
13541,Habu Ko,JP,34.17 N,133.11 E,34.17,133.11
13542,Onomichi-Itozaki,JP,34.23 N,133.10 E,34.23,133.1
13543,Kure,JP,34.14 N,132.33 E,34.14,132.33
13544,Mitsukojima,JP,34.11 N,132.31 E,34.11,132.31
13545,Hiroshima,JP,34.21 N,132.28 E,34.21,132.28
13546,Kanokawa Ko,JP,34.11 N,132.26 E,34.11,132.26
13547,Iwakuni Ko,JP,34.11 N,132.15 E,34.11,132.15
13548,Namikata,JP,34.7N,132.54 E,34.7,132.54
13549,Kudamatsu,JP,34.0N,131.52 E,34,131.52
13550,Tokuyama,JP,34.2N,131.49 E,34.2,131.49
13551,Ube Ko,JP,33.56 N,131.14 E,33.56,131.14
13552,Hikari,JP,33.57 N,131.56 E,33.57,131.56
13553,Shimonoseki,JP,33.56 N,130.56 E,33.56,130.56
13554,Hagi Ko,JP,34.25 N,131.24 E,34.25,131.24
13555,Hamada Ko,JP,34.54 N,132.5E,34.54,132.5
13556,Sakai Ko,JP,35.33 N,133.15 E,35.33,133.15
13557,Sakaiminato,JP,35.32 N,133.14 E,35.32,133.14
13558,Miyazu,JP,35.32 N,135.12 E,35.32,135.12
13559,Maizuru Ko,JP,35.31 N,135.20 E,35.31,135.2
13560,Uchiura,JP,35.31 N,135.30 E,35.31,135.3
13561,Fukui,JP,36.4N,136.12 E,36.4,136.12
13562,Tsuruga Ko,JP,35.39 N,136.4E,35.39,136.4
13563,Fukui Ko,JP,36.11 N,136.6E,36.11,136.6
13564,Kanazawa,JP,36.37 N,136.36 E,36.37,136.36
13565,Nanao Ko,JP,37.3N,136.59 E,37.3,136.59
13566,Fushiki-Toyama,JP,36.46 N,137.8E,36.46,137.8
13567,Shimminato,JP,36.46 N,137.7E,36.46,137.7
13568,Himekawa,JP,37.2N,137.51 E,37.2,137.51
13569,Naoetsu Ko,JP,37.11 N,138.15 E,37.11,138.15
13570,Kashiwazaki,JP,37.22 N,138.33 E,37.22,138.33
13571,Niigata Ko,JP,37.55 N,139.3E,37.55,139.3
13572,Eastern Part Of Niigata-Ko,JP,38.1N,139.14 E,38.1,139.14
13573,Ryotu Ko,JP,38.5N,138.34 E,38.5,138.34
13574,Sakata Ko,JP,38.56 N,139.49 E,38.56,139.49
13575,Akita-Funakawa Ko,JP,39.50 N,140.0E,39.5,140
13576,Mega,JP,34.47 N,134.42 E,34.47,134.42
13577,Hannan Ko,JP,34.28 N,135.21 E,34.28,135.21
13578,Takamatsu,JP,34.21 N,134.3E,34.21,134.3
13579,Komatsushima,JP,34.1N,134.36 E,34.1,134.36
13580,Tachibana,JP,33.52 N,134.40 E,33.52,134.4
13581,Shingu,JP,33.40 N,135.59 E,33.4,135.59
13582,Kochi Ko,JP,33.30 N,133.34 E,33.3,133.34
13583,Susaki Ko,JP,33.23 N,133.18 E,33.23,133.18
13584,Uwajima Ko,JP,33.13 N,132.34 E,33.13,132.34
13585,Yawatahama,JP,33.27 N,132.25 E,33.27,132.25
13586,Matsuyama,JP,33.51 N,132.42 E,33.51,132.42
13587,Kikuma Ko,JP,34.2N,132.50 E,34.2,132.5
13588,Muturezima Ko,JP,33.58 N,130.52 E,33.58,130.52
13589,Imabari Ko,JP,34.4N,133.1E,34.4,133.1
13590,Takuma,JP,34.13 N,133.41 E,34.13,133.41
13591,Tonda,JP,34.2N,131.45 E,34.2,131.45
13592,Onoda,JP,34.0N,131.11 E,34,131.11
13593,Niihama,JP,33.59 N,133.17 E,33.59,133.17
13594,Mishima-Kawanoe Ko,JP,34.0N,133.33 E,34,133.33
13595,Marugame Ko,JP,34.18 N,133.47 E,34.18,133.47
13596,Sakaide Ko,JP,34.20 N,133.51 E,34.2,133.51
13597,Yanai,JP,33.57 N,132.8E,33.57,132.8
13598,Tobata,JP,33.55 N,130.49 E,33.55,130.49
13599,Hibikinada,JP,33.56 N,130.50 E,33.56,130.5
13600,Wakamatsu Ko,JP,33.54 N,130.49 E,33.54,130.49
13601,Yahata,JP,33.52 N,130.49 E,33.52,130.49
13602,Kokura Ko,JP,33.53 N,130.53 E,33.53,130.53
13603,Moji Ko,JP,33.57 N,130.58 E,33.57,130.58
13604,Kanda,JP,33.47 N,131.1E,33.47,131.1
13605,Beppu,JP,33.19 N,131.31 E,33.19,131.31
13606,Oita Ko,JP,33.15 N,131.40 E,33.15,131.4
13607,Saganoseki Ko,JP,33.15 N,131.52 E,33.15,131.52
13608,Tsukumi Ko,JP,33.5N,131.52 E,33.5,131.52
13609,Saiki Ko,JP,32.58 N,131.56 E,32.58,131.56
13610,Hososhima Ko,JP,32.26 N,131.40 E,32.26,131.4
13611,Kagoshima Ko,JP,31.35 N,130.34 E,31.35,130.34
13612,Shibushi Wan,JP,31.28 N,131.6E,31.28,131.6
13613,Kiire,JP,31.23 N,130.33 E,31.23,130.33
13614,Minamata Ko,JP,32.12 N,130.23 E,32.12,130.23
13615,Yatsushiro Ko,JP,32.30 N,130.32 E,32.3,130.32
13616,Misumi Ko,JP,32.36 N,130.28 E,32.36,130.28
13617,Miike Ko,JP,33.0N,130.25 E,33,130.25
13618,Matsu-Shima,JP,32.56 N,129.36 E,32.56,129.36
13619,Aokata,JP,32.59 N,129.4E,32.59,129.4
13620,Nagasaki,JP,32.43 N,129.51 E,32.43,129.51
13621,Sasebo,JP,33.10 N,129.43 E,33.1,129.43
13622,Imari,JP,33.17 N,129.53 E,33.17,129.53
13623,Karatsu,JP,33.29 N,129.58 E,33.29,129.58
13624,Hakata,JP,33.36 N,130.24 E,33.36,130.24
13625,Izuhara,JP,34.12 N,129.18 E,34.12,129.18
13626,Kin Wan,JP,26.25 N,127.54 E,26.25,127.54
13627,Nishihara,JP,26.13 N,127.48 E,26.13,127.48
13628,Naha Ko,JP,26.13 N,127.41 E,26.13,127.41
13629,Nakagusuku,JP,26.16 N,127.55 E,26.16,127.55
13630,Hirara Ko,JP,24.48 N,125.17 E,24.48,125.17
13631,Ishigaki,JP,24.20 N,124.10 E,24.2,124.1
13632,Slavyanka,RU,42.52 N,131.23 E,42.52,131.23
13633,Okhotsk Iy Reyd,RU,59.22 N,143.12 E,59.22,143.12
13634,Bukhta Nagayeva (Magadan),RU,59.34 N,150.43 E,59.34,150.43
13635,Petropavlovsk,RU,53.3N,158.39 E,53.3,158.39
13636,Nikol Skoye,RU,55.12 N,165.59 E,55.12,165.59
13637,Port Beringovsky,RU,63.4N,179.22 E,63.4,179.22
13638,Provideniya,RU,64.25 N,173.14 W,64.25,-173.14
13639,Ambarchik,RU,69.38 N,162.19 E,69.38,162.19
13640,Tiksi,RU,71.38 N,128.52 E,71.38,128.52
13641,Pevek,RU,69.43 N,170.18 E,69.43,170.18
13642,Port Dikson,RU,73.30 N,80.31 E,73.3,80.31
13643,Ust-Port,RU,69.40 N,84.26 E,69.4,84.26
13644,Dudinka,RU,69.24 N,86.10 E,69.24,86.1
13645,Igarka,RU,67.29 N,86.36 E,67.29,86.36
13646,Mys Novyy Port,RU,67.40 N,72.54 E,67.4,72.54
13647,Nar Yan-Mar,RU,67.39 N,53.0E,67.39,53
13648,Mezen,RU,65.50 N,44.11 E,65.5,44.11
13649,Arkhangels'K,RU,64.32 N,40.32 E,64.32,40.32
13650,Severodvinsk,RU,64.34 N,39.47 E,64.34,39.47
13651,Onega,RU,63.54 N,38.6E,63.54,38.6
13652,Belomorsk,RU,64.32 N,34.48 E,64.32,34.48
13653,Rabocheostrovsk,RU,64.59 N,34.47 E,64.59,34.47
13654,Keret,RU,66.17 N,33.34 E,66.17,33.34
13655,Kovda,RU,66.41 N,32.52 E,66.41,32.52
13656,Kandalaksha,RU,67.8N,32.25 E,67.8,32.25
13657,Vitino,RU,67.5N,32.19 E,67.5,32.19
13658,Bolshaya Piryu Guba,RU,66.40 N,34.22 E,66.4,34.22
13659,Ostrovnoy Gremikha,RU,68.3N,39.31 E,68.3,39.31
13660,Murmansk,RU,68.59 N,33.3E,68.59,33.3
13661,Mys Abram,RU,68.59 N,33.2E,68.59,33.2
13662,Ellefsen Harbor,AQ,60.44 S,45.2W,-60.44,-45.2
13663,Scotia Bay,AQ,60.45 S,44.43 W,-60.45,-44.43
13664,Admiralty Bay,AQ,62.5 S,58.25 W,-62.5,-58.25
13665,Port Foster,AQ,62.57 S,60.38 W,-62.57,-60.38
13666,Port Lockroy,AQ,64.49 S,63.30 W,-64.49,-63.3
13667,Melchior Harbor,AQ,64.19 S,63.0W,-64.19,-63
13668,Andersen Harbor,AQ,64.19 S,62.56 W,-64.19,-62.56
13669,Mcmurdo Station,AQ,77.51 S,166.39 E,-77.51,166.39
13670,Bishop Rock,UK,49.86N,6.4500W,49.86,-6.45
13671,Cape Leeuwin,Australia,34.3667 S,115.1333 E,-34.37,115.13
13672,Cape of Good Hope,South Africa,34.3568 S,18.4740 E,-34.36,18.47
13673,Fastnet Rock,UK,51.3889 N,9.6036 W,51.39,-9.6
13674,Grand Banks South,US,46.09N,51.29W,46.09,-51.29
13675,Honshu,Japan,36.0786 N,138.0804 E,36.08,138.08
13676,Ile d’Ouessant,France,48.4614 N,5.0914 W,48.46,-5.09
13677,Inishtrahull,UK,55.4333 N,7.2333 W,55.43,-7.23
13678,Montreal,Canada,45.5017 N,73.5673 W,45.5,-73.57
13679,Nord-Ostsee-Kanal,Germany,54.16N,9.65W,54.16,-9.65
13680,Panama,Panama,9.38 N,79.92W,9.38,-79.92
13681,Pentland Firth,UK,56.71N,3.11W,56.71,-3.11
13682,Port Said,Egypt,31.2653 N,32.3019 E,31.27,32.3
13683,Punta Arenas,Chile,53.1638 S,70.9171 W,-53.16,-70.92
13684,Selat Lombok,Indonesia,8.65S,116.32E,-8.65,116.32
13685,Selat Sunda,Indonesia,5.9206 S,105.8858 E,-5.92,105.89
13686,Selat Wetar,Indonesia,8.1681 S,126.1670 E,-8.17,126.17
13687,Singapore,Singapore,1.26N,103.83 E,1.26,103.83
13688,Skagens Odde,Denmark,57.6667 N,10.4167 E,57.67,10.42
13689,Strait of Gibraltar,Spain,35.9982 N,5.6879 W,36,-5.69
13690,Straits of Florida,US,23.3875 N,82.3886 W,23.39,-82.39
13691,Torres Strait,Australia,10.2199 S,141.9369 E,-10.22,141.94
13692,Tsugaru-Kaikyo,Japan,41.6324 N,140.6910 E,41.63,140.69
13693,Wilson Promontory,Australia,39.0319 S,146.3198 E,-39.03,146.32
13694,Yucatan Channel,Mexico,21.34N,85.54W,21.34,-85.54
13695,Osumi-kaikyo,Japan,30.91N,130.667E,30.91,130.67
